,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,0.46515846300630004,0.07060498777307428,6.588181340691225,4.4524663713556895e-11,0.32677522984218355,0.6035416961704165
age,0.29595065502032947,0.03150012757723972,9.395220838221853,5.709791742578424e-21,0.23421153946052267,0.3576897705801363
blood_pressure,0.005117437485825707,0.004359646652658331,1.1738193237989383,0.24046740223630414,-0.0034273129387052247,0.013662187910356638
cholesterol,0.09703325516113283,0.004364235590417028,22.2337344423381,1.620746229535284e-109,0.08847951058386755,0.10558699973839811
max_hr,-0.8507108436703824,0.010774677684452975,-78.95464426726122,0.0,-0.8718288238769377,-0.8295928634638271
st_depression,0.4635228643254638,0.011157734112154438,41.54274153392266,0.0,0.4416541073165671,0.4853916213343605
slope_st,0.42876672400418364,0.009998371539196253,42.88365583568334,0.0,0.4091702758833087,0.4483631721250586
number_vessels,0.6743997916407514,0.01212799998267494,55.60684305772949,0.0,0.650629348470206,0.6981702348112967
sex_male,0.9685678779643524,0.07446119029516517,13.007687281454087,1.1064007467395645e-38,0.8226266267398452,1.1145091291888596
chest_pain_atypical angina,-1.8188505181926935,0.03570725043941164,-50.93784863886213,0.0,-1.8888354430408922,-1.7488655933444948
chest_pain_non-anginal pain,-1.7162099731783313,0.02381130430997302,-72.07542899947407,0.0,-1.7628792720508017,-1.669540674305861
chest_pain_typical angina,-2.388634019230865,0.06622798288606983,-36.066839350066964,7.511000335876206e-285,-2.518438480456297,-2.258829558005433
rest_blood_sugar_true,-0.04394743054196406,0.0161581133821548,-2.7198367471848597,0.006531415334745558,-0.07561675082910216,-0.012278110254825968
ekg_normal,-0.44570550893298233,0.019177461168559562,-23.241111272001586,1.7496968390045624e-119,-0.4832926421382745,-0.40811837572769016
ekg_st-t wave abnormality,-0.31632869257963997,0.21416717991404585,-1.4770175930158662,0.13967092140835424,-0.7360886518816799,0.1034312667224
exercise_angina_True,1.2320048256846432,0.024681068717529592,49.91699669834875,0.0,1.183630819898327,1.2803788314709594
thallium_normal,-1.5721151394720587,0.07006971998163579,-22.436441017376495,1.7359381587170775e-111,-1.7094492670428714,-1.434781011901246
thallium_reversible defect,0.6243607945944747,0.07085769517235255,8.81147478867037,1.2351006237617778e-18,0.48548226402914607,0.7632393251598033
age__sq,-0.036247629837386434,0.02657865285940789,-1.3637873231997186,0.17263451120152606,-0.08834083219941842,0.01584557252464555
itas__age__x__sex_male,-0.014613470749971188,0.011142031114675561,-1.3115625508102622,0.1896677756271924,-0.03645145044935996,0.0072245089494175855
itas__age__sq__x__sex_male,0.019725725434964973,0.009429395459707612,2.09193956486969,0.03644392224417212,0.0012444499379525471,0.0382070009319774
itacp__age__x__chest_pain_atypical angina,0.012829936159760441,0.015489650136214403,0.8282908940444291,0.4075057785382825,-0.01752922024034573,0.04318909255986661
itacp__age__x__chest_pain_non-anginal pain,0.022465081054649404,0.010386937015333433,2.162820571789926,0.03055498271871048,0.0021070585949099115,0.042823103514388894
itacp__age__x__chest_pain_typical angina,0.038098312093701014,0.02768813524372769,1.3759797024370424,0.1688279174480547,-0.01616943578307941,0.09236605997048145
itacp__age__sq__x__chest_pain_atypical angina,0.012554029334248094,0.013098976839129002,0.9583977045250548,0.33786225230134703,-0.013119493504769068,0.038227552173265254
itacp__age__sq__x__chest_pain_non-anginal pain,-0.004584094570208976,0.008831303744181543,-0.5190733670811835,0.6037095798959851,-0.02189313184533853,0.012724942704920578
itacp__age__sq__x__chest_pain_typical angina,-0.019759746146457702,0.023404760327017098,-0.8442618454694534,0.3985231018954839,-0.0656322334542031,0.026112741161287707
itaea__age__x__exercise_angina_True,-0.0011323328793864937,0.010721386518890812,-0.10561440699776581,0.9158882935546345,-0.022145864320745747,0.01988119856197276
itaea__age__sq__x__exercise_angina_True,0.01476231921855546,0.009057189610126522,1.6299006484362693,0.1031224965998531,-0.0029894462184428972,0.03251408465555382
itanv__age__x__number_vessels,0.0036593355185825407,0.00558712719773519,0.6549583335181445,0.5124945810045771,-0.007291232566022628,0.01460990360318771
itanv__age__sq__x__number_vessels,0.009684193668661193,0.004699458534448084,2.060704142333395,0.03933127421394523,0.0004734241943035629,0.018894963143018823
