,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,0.9598682668097442,0.04063039569487655,23.62438884469891,2.164604225291125e-123,0.880234154570175,1.0395023790493136
slope_st,0.49678847773522256,0.008486088509261868,58.54151499751844,0.0,0.4801560498874501,0.513420905582995
age,0.3498213118979363,0.004475969992794781,78.15541937525569,0.0,0.34104857191617655,0.35859405187969606
blood_pressure,-0.06847930230190655,0.0057702975447853425,-11.867551329964217,1.745005934498096e-32,-0.07978887766976572,-0.05716972693404738
cholesterol,0.01580707512836082,0.0059993090651091945,2.6348159357702823,0.00841829196852289,0.004048645428622136,0.027565504828099503
max_hr,-0.8390696541123942,0.0066681016732355195,-125.83336236162367,0.0,-0.8521388932371871,-0.8260004149876014
st_depression,0.48867724307415594,0.016900731345430742,28.914561925527206,7.833286880435646e-184,0.45555241832472454,0.5218020678235874
risk_count,0.2659691833457055,0.013579490558557014,19.586094353009955,2.0319292289483882e-85,0.23935387092253207,0.29258449576887896
sex_male,1.0553849703117757,0.010615598032432139,99.41832453408907,0.0,1.0345787804938544,1.076191160129697
chest_pain_atypical angina,-1.7815904443119506,0.015173654603094416,-117.41340441139504,0.0,-1.811330260847866,-1.751850627776035
chest_pain_non-anginal pain,-1.6694182983045542,0.010074526520239008,-165.70687415937726,0.0,-1.6891640074455163,-1.6496725891635922
chest_pain_typical angina,-2.2422032488477157,0.026780895573334358,-83.72398311728864,0.0,-2.294692839645179,-2.1897136580502523
rest_blood_sugar_true,-0.2514507851006098,0.019262364380180363,-13.053993795244327,6.030147875322626e-39,-0.2892043255428505,-0.2136972446583691
ekg_normal,-0.4270001682652438,0.008757733294896434,-48.75692760752123,0.0,-0.4441650101094481,-0.4098353264210395
ekg_st-t wave abnormality,-0.5191991885474435,0.09840656101510735,-5.276062725814961,1.319889261628657e-07,-0.7120725039794973,-0.32632587311538974
exercise_angina_True,1.0154729851563402,0.04538834289194682,22.372990958797793,7.213464574649783e-111,0.9265134677701699,1.1044325025425106
number_vessels_three,0.8549139283934356,0.03216727681520764,26.5771309553086,1.2479363678016861e-155,0.7918672243548983,0.9179606324319729
number_vessels_two,0.8034844375201537,0.022107214602844056,36.34489699198862,3.1636373700886757e-289,0.7601550931000814,0.846813781940226
number_vessels_zero,-0.8622275912185777,0.015632313449100196,-55.15674912904257,0.0,-0.8928663625738552,-0.8315888198633002
thallium_normal,-1.237279078348894,0.031729378152326286,-38.99474715227538,0.0,-1.2994675167793057,-1.1750906399184824
thallium_reversible defect,0.514272288224971,0.03027335245476083,16.98762266232248,1.0141714841484635e-64,0.4549376077223525,0.5736069687275894
slope_st__sq,-0.15809337978865928,0.02192484874841118,-7.210694203768032,5.566734135123944e-13,-0.20106529370203327,-0.1151214658752853
chest_pain_x_max_hr__chest_pain_atypical angina__x__max_hr,-0.00810986532774763,0.016951793654297574,-0.47840750619871064,0.6323601921483171,-0.04133477036352551,0.02511503970803025
chest_pain_x_max_hr__chest_pain_non-anginal pain__x__max_hr,0.019877261052693548,0.011324659249274909,1.755219350548339,0.07922179523629355,-0.002318663213073679,0.04207318531846077
chest_pain_x_max_hr__chest_pain_typical angina__x__max_hr,0.022473239502416663,0.02921855308083924,0.7691427922607853,0.441808547111998,-0.03479407221640009,0.07974055122123341
exercise_angina_x_slope_st__exercise_angina_True__x__slope_st,0.02632698107625437,0.016834011054760716,1.563916109512653,0.11783727078030247,-0.006667074306425762,0.0593210364589345
exercise_angina_x_slope_st__exercise_angina_True__x__slope_st__sq,-0.036374474347867655,0.04305404138269208,-0.8448562127895933,0.3981911247330805,-0.1207588448468412,0.04800989615110589
st_depression_x_slope_st__st_depression__x__slope_st,0.07270253042741391,0.007477910928408985,9.722304948994925,2.422349678309336e-22,0.05804609432813382,0.087358966526694
st_depression_x_slope_st__st_depression__x__slope_st__sq,-0.06545658153472464,0.016019169731791964,-4.086140707081603,4.3860784738780796e-05,-0.09685357727127104,-0.034059585798178235
