,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-25463011115.308666,414474500453.759,-0.06143444551457867,0.9510132206032653,-837818104514.9066,786892082284.2892
age,0.3506477466486,0.004463592688232327,78.55729031303338,0.0,0.34189926573800833,0.35939622755919165
blood_pressure,0.004996988699677676,0.004364653803058463,1.1448763006532419,0.2522604025248799,-0.0035575755593026896,0.013551552958658042
cholesterol,0.0969085883364885,0.004368012092404733,22.18597070850533,4.691977329648305e-109,0.08834744195133977,0.10546973472163722
max_hr,-0.8355641351561993,0.005016057628474224,-166.57785796020843,0.0,-0.8453954274523862,-0.8257328428600125
exercise_angina,1.1920999150080576,0.010383027883843168,114.81235804664085,0.0,1.1717495543052499,1.2124502757108653
st_depression,0.45441875432499906,0.005159415996571294,88.07561836978923,0.0,0.4443064847904595,0.46453102385953865
slope_st,0.43498535680119793,0.004656792265722701,93.40879557866457,0.0,0.42585821167689675,0.4441125019254991
number_vessels,0.69686709133633,0.005393479270399165,129.2054824723106,0.0,0.6862960662149842,0.7074381164576757
sex_female,317806439449.5688,954979715601.0336,0.33278868048998467,0.7392938033579474,-1553919409094.7605,2189532287993.8982
sex_male,317806439450.62665,954979715601.023,0.3327886804910961,0.7392938033571084,-1553919409093.682,2189532287994.9353
chest_pain_asymptomatic,-99047881274.71777,392584245097.9938,-0.2522971375226589,0.800811400514871,-868498862564.6309,670403100015.1953
chest_pain_atypical angina,-99047881276.50314,392584245097.9915,-0.2522971375272081,0.800811400511355,-868498862566.4119,670403100013.4055
chest_pain_non-anginal pain,-99047881276.39241,392584245097.9927,-0.2522971375269253,0.8008114005115736,-868498862566.3033,670403100013.5184
chest_pain_typical angina,-99047881276.96495,392584245097.99304,-0.25229713752838345,0.8008114005104466,-868498862566.8766,670403100012.9467
blood_sugar_false,-164372039206.9335,628044499617.512,-0.26172037062188813,0.7935370343205342,-1395316639145.7368,1066572560731.8698
blood_sugar_true,-164372039206.97556,628044499617.5087,-0.26172037062195647,0.7935370343204815,-1395316639145.7722,1066572560731.821
ekg_left ventricular hypertrophy,82088662534.3376,1039736557414.5546,0.07895140547761652,0.9370712751560728,-1955757543407.8513,2119934868476.5266
ekg_normal,82088662533.90434,1039736557414.5642,0.07895140547719909,0.9370712751564049,-1955757543408.3037,2119934868476.1123
ekg_st-t wave abnormality,82088662533.8224,1039736557414.556,0.0789514054771209,0.937071275156467,-1955757543408.3694,2119934868476.0144
thallium_fixed defect,-111012170386.57547,418526511150.3315,-0.26524525311779057,0.7908205359946479,-931309058816.4265,709284718043.2756
thallium_normal,-111012170388.01988,418526511150.33026,-0.26524525312124253,0.7908205359919888,-931309058817.8685,709284718041.8287
thallium_reversible defect,-111012170386.05652,418526511150.3298,-0.2652452531165517,0.790820535995602,-931309058815.9042,709284718043.7911
